Player,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Kobe Bryant,LAL,35:21,9,12,2,3,0,1,1,3,4,4,5,1,6,3,20,.750,.667,.000
Kevin Garnett,MIN,28:52,6,14,0,1,0,0,3,4,7,6,2,1,1,0,12,.429,.000,
Tim Duncan,SAS,26:02,6,11,0,0,2,4,2,11,13,5,1,0,2,2,14,.545,,.500
Steve Francis,HOU,23:06,6,9,1,2,0,0,1,3,4,4,0,0,1,1,13,.667,.500,
Yao Ming,HOU,18:39,8,14,0,2,0,0,2,2,4,1,0,0,0,2,16,.571,.000,
Ray Allen,SEA,23:44,6,13,1,4,3,4,2,1,3,4,1,0,3,2,16,.462,.250,.750
Shaquille O'Neal,LAL,23:31,12,19,0,0,0,1,5,6,11,1,2,2,4,3,24,.632,,.000
Sam Cassell,MIN,13:49,2,3,0,0,0,0,0,1,1,7,1,0,1,0,4,.667,,
Peja Stojakovic,SAC,13:24,2,5,1,4,0,0,0,1,1,1,0,0,2,0,5,.400,.250,
Dirk Nowitzki,DAL,13:24,1,3,0,1,0,0,0,0,0,1,2,0,2,0,2,.333,.000,
Andrei Kirilenko,UTA,10:30,1,3,0,1,0,0,0,1,1,1,0,1,0,0,2,.333,.000,
Brad Miller,SAC,9:38,4,5,0,0,0,0,1,1,2,0,0,0,2,0,8,.800,,
Jermaine O'Neal,IND,27:42,7,13,0,0,2,4,2,7,9,2,1,0,2,0,16,.538,,.500
Allen Iverson,PHI,23:12,1,6,0,0,1,4,0,1,1,11,0,0,4,3,3,.167,,.250
Ben Wallace,DET,22:15,2,5,0,1,0,0,2,5,7,0,3,1,0,0,4,.400,.000,
Tracy McGrady,ORL,21:54,5,11,1,6,2,4,1,3,4,3,0,0,1,0,13,.455,.167,.500
Vince Carter,TOR,15:50,5,7,1,3,0,0,1,1,2,0,2,0,2,1,11,.714,.333,
Kenyon Martin,NJN,24:05,8,10,0,0,1,2,4,3,7,3,0,0,3,1,17,.800,,.500
Jason Kidd,NJN,21:56,4,6,3,4,3,4,0,3,3,10,2,0,3,1,14,.667,.750,.750
Jamaal Magloire,NOH,21:44,9,16,0,0,1,2,3,5,8,0,1,1,1,2,19,.563,,.500
Metta World Peace,IND,16:59,3,5,0,1,1,2,1,2,3,3,1,0,1,2,7,.600,.000,.500
Baron Davis,NOH,15:35,3,9,1,6,0,0,0,0,0,7,1,0,1,0,7,.333,.167,
Michael Redd,MIL,14:48,5,12,3,6,0,0,2,1,3,2,3,0,1,0,13,.417,.500,
Paul Pierce,BOS,14:00,4,8,0,1,0,0,0,1,1,2,1,0,1,2,8,.500,.000,
